tc_id,schema,time_taken
TC398.sh,adler32/adler32_variant.avx2/65,0.0075016021728515625
TC399.sh,adler32/adler32_variant.avx2/66,0.007122993469238281
TC400.sh,adler32/adler32_variant.avx2/67,0.007040262222290039
TC401.sh,adler32/adler32_variant.avx2/68,0.0071713924407958984
TC402.sh,adler32/adler32_variant.avx2/69,0.007185459136962891
TC403.sh,adler32/adler32_variant.avx2/70,0.0070111751556396484
TC404.sh,adler32/adler32_variant.avx2/71,0.006947517395019531
TC405.sh,adler32/adler32_variant.avx2/72,0.00702214241027832
TC406.sh,adler32/adler32_variant.avx2/73,0.00718998908996582
TC407.sh,adler32/adler32_variant.avx2/74,0.007143259048461914
TC408.sh,adler32/adler32_variant.avx2/75,0.007001399993896484
TC409.sh,adler32/adler32_variant.avx2/76,0.00703740119934082
TC410.sh,adler32/adler32_variant.avx2/77,0.007120609283447266
TC411.sh,adler32/adler32_variant.avx2/78,0.007036924362182617
TC412.sh,adler32/adler32_variant.avx2/79,0.007228851318359375
TC413.sh,adler32/adler32_variant.avx2/80,0.007077693939208984
TC414.sh,adler32/adler32_variant.avx2/81,0.007048845291137695
TC415.sh,adler32/adler32_variant.avx2/82,0.007013559341430664
TC416.sh,adler32/adler32_variant.avx2/83,0.007005214691162109
TC417.sh,adler32/adler32_variant.avx2/84,0.007086992263793945
TC418.sh,adler32/adler32_variant.avx2/85,0.0071756839752197266
TC419.sh,adler32/adler32_variant.avx2/86,0.007325172424316406
TC420.sh,adler32/adler32_variant.avx2/87,0.007157802581787109
TC421.sh,adler32/adler32_variant.avx2/88,0.007139921188354492
TC422.sh,adler32/adler32_variant.avx2/89,0.007211923599243164
TC423.sh,adler32/adler32_variant.avx2/90,0.0071446895599365234
TC424.sh,adler32/adler32_variant.avx2/91,0.007071018218994141
TC425.sh,adler32/adler32_variant.avx2/92,0.00687098503112793
TC426.sh,adler32/adler32_variant.avx2/93,0.007040262222290039
TC427.sh,adler32/adler32_variant.avx2/94,0.0072116851806640625
TC428.sh,adler32/adler32_variant.avx2/95,0.0071642398834228516
TC429.sh,adler32/adler32_variant.avx2/96,0.007326364517211914
