buggy_version_name,#_failing_TCs,#_passing_TCs,#_excluded_failing_TCs,#_excluded_passing_TCs,#_CCTs,#_total_TCs,#_lines_executed_by_failing_TCs,#_lines_executed_by_passing_TCs,#_lines_executed_by_CCTs,#_total_lines_executed,#_total_lines,coverage,coverage (no CCTs),#_funcs_executed_by_failing_TCs,#_lines_executed_on_initialization,#_funcs_executed_on_initialization,#_distinct_funcs_executed_by_failing_TCs,#_distinct_lines_executed_by_failing_TCs,buggy_func_is_included_in_func_executed_on_initialization,buggy_line_is_included_in_func_executed_on_initialization,#_funcs,#_files
recurrent_layers.MUT363.cpp,3,2870,0,0,0,2873,1449,12409,0,12442,14008,0.8882067390062821,0.8882067390062821,134,0,0,134,1449,0,0,1050,63
slice_layer.MUT163.cpp,6,2855,0,0,12,2873,271,12533,279,12542,14008,0.8953455168475157,0.894774414620217,22,0,0,22,271,0,0,1050,63
recurrent_layers.MUT75.cpp,17,2855,0,0,0,2872,2332,12387,0,12499,14008,0.8922758423757853,0.8922758423757853,200,0,0,200,2332,0,0,1050,63
darknet_io.MUT403.cpp,1,2872,0,0,0,2873,344,12510,0,12542,14008,0.8953455168475157,0.8953455168475157,23,0,0,23,344,0,0,1050,63
einsum_layer.MUT172.cpp,13,2860,0,0,0,2873,1201,12118,0,12292,14009,0.8774359340424013,0.8774359340424013,118,0,0,118,1201,0,0,1050,63
onnx_graph_simplifier.MUT126.cpp,1,2310,0,0,562,2873,1567,7870,9544,12514,14008,0.8933466590519703,0.634351798972016,152,0,0,152,1567,0,0,1050,63
pooling_layer.MUT366.cpp,1,2872,0,0,0,2873,507,12491,0,12542,14008,0.8953455168475157,0.8953455168475157,40,0,0,40,507,0,0,1050,63
quantization_utils.MUT8.cpp,1,2872,0,0,0,2873,1491,12473,0,12532,14008,0.8946316390633924,0.8946316390633924,147,0,0,147,1491,0,0,1050,63
caffe_importer.MUT111.cpp,4,2869,0,0,0,2873,162,12391,0,12401,14008,0.8852798400913764,0.8852798400913764,20,0,0,20,162,0,0,1050,63
reshape_layer.MUT107.cpp,45,2828,0,0,0,2873,5457,12254,0,12506,14008,0.8927755568246716,0.8927755568246716,477,0,0,477,5457,0,0,1050,63
einsum_layer.MUT317.cpp,7,2866,0,0,0,2873,1236,12408,0,12436,14008,0.8877784123358081,0.8877784123358081,121,0,0,121,1236,0,0,1050,63
onnx_importer.MUT371.cpp,15,2858,0,0,0,2873,3218,12456,0,12467,14008,0.8899914334665905,0.8899914334665905,293,0,0,293,3218,0,0,1050,63
reduce_layer.MUT135.cpp,5,2867,0,0,1,2873,2992,12530,1118,12542,14008,0.8953455168475157,0.8953455168475157,288,0,0,288,2992,0,0,1050,63
eltwise_layer.MUT204.cpp,8,2865,0,0,0,2873,533,12540,0,12542,14008,0.8953455168475157,0.8953455168475157,42,0,0,42,533,0,0,1050,63
attention_layer.MUT34.cpp,2,2870,0,0,1,2873,1263,12326,1255,12434,14008,0.8876356367789834,0.8876356367789834,119,0,0,119,1263,0,0,1050,63
concat_layer.MUT65.cpp,5,2804,0,0,64,2873,2870,12114,6151,12518,14008,0.8936322101656197,0.8687178754997145,271,0,0,271,2870,0,0,1050,63
darknet_io.MUT145.cpp,1,2872,0,0,0,2873,122,12516,0,12539,14009,0.8950674566350203,0.8950674566350203,14,0,0,14,122,0,0,1050,63
softmax_layer.MUT103.cpp,5,2868,0,0,0,2873,2766,12477,0,12540,14008,0.895202741290691,0.895202741290691,264,0,0,264,2766,0,0,1050,63
recurrent_layers.MUT209.cpp,3,2870,0,0,0,2873,2149,12491,0,12543,14009,0.8953529873652651,0.8953529873652651,195,0,0,195,2149,0,0,1050,63
torch_importer.MUT107.cpp,26,2847,0,0,0,2873,361,12049,0,12195,14008,0.8705739577384352,0.8705739577384352,37,0,0,37,361,0,0,1050,63
tf_graph_simplifier.MUT446.cpp,148,2725,0,0,0,2873,2917,10845,0,11059,14008,0.7894774414620217,0.7894774414620217,264,0,0,264,2917,0,0,1050,63
tf_importer.MUT56.cpp,31,2796,0,0,46,2873,3935,12008,5160,12477,14007,0.8907689012636539,0.8746341115156707,349,0,0,349,3935,0,0,1050,63
pooling_layer.MUT216.cpp,1,2870,0,0,2,2873,649,12521,2594,12542,14008,0.8953455168475157,0.8949171901770417,57,0,0,57,649,0,0,1050,63
nary_eltwise_layers.MUT149.cpp,3,2818,0,0,43,2864,1802,12313,4990,12539,14008,0.8951313535122787,0.8821387778412336,183,0,0,183,1802,0,0,1050,63
pooling_layer.MUT304.cpp,43,2829,0,0,1,2873,5485,12421,1217,12542,14008,0.8953455168475157,0.8953455168475157,478,0,0,478,5485,0,0,1050,63
correlation_layer.MUT94.cpp,1,2872,0,0,0,2873,426,12437,0,12542,14008,0.8953455168475157,0.8953455168475157,35,0,0,35,426,0,0,1050,63
convolution_layer.MUT445.cpp,7,2818,0,0,48,2873,2745,12254,467,12542,14008,0.8953455168475157,0.8953455168475157,260,0,0,260,2745,0,0,1050,63
recurrent_layers.MUT321.cpp,2,2871,0,0,0,2873,111,12453,0,12535,14008,0.8948458023986293,0.8948458023986293,13,0,0,13,111,0,0,1050,63
prior_box_layer.MUT127.cpp,2,2870,0,0,1,2873,709,12260,345,12542,14008,0.8953455168475157,0.8953455168475157,59,0,0,59,709,0,0,1050,63
permute_layer.MUT58.cpp,24,2816,0,0,33,2873,4246,11848,5696,12542,14008,0.8953455168475157,0.8797829811536265,367,0,0,367,4246,0,0,1050,63
onnx_graph_simplifier.MUT231.cpp,1,2871,0,0,1,2873,1152,12526,1418,12535,14007,0.8949096880131363,0.8946955093881631,118,0,0,118,1152,0,0,1050,63
torch_importer.MUT284.cpp,1,2872,0,0,0,2873,505,12505,0,12541,14008,0.8952741290691034,0.8952741290691034,46,0,0,46,505,0,0,1050,63
recurrent_layers.MUT52.cpp,1,2872,0,0,0,2873,1582,12529,0,12542,14008,0.8953455168475157,0.8953455168475157,149,0,0,149,1582,0,0,1050,63
tf_importer.MUT745.cpp,12,2859,0,0,2,2873,3333,12482,991,12542,14008,0.8953455168475157,0.8946316390633924,311,0,0,311,3333,0,0,1050,63
reduce_layer.MUT7.cpp,16,2809,0,0,48,2873,2160,12470,1414,12536,14006,0.8950449807225475,0.8909038983292874,190,0,0,190,2160,0,0,1050,63
prior_box_layer.MUT37.cpp,2,2870,0,0,1,2873,461,12260,641,12541,14007,0.8953380452630827,0.8854858285143142,40,0,0,40,461,0,0,1050,63
gemm_layer.MUT58.cpp,1,2850,0,0,18,2869,1077,12401,4261,12541,14008,0.8952741290691034,0.8907053112507138,108,0,0,108,1077,0,0,1050,63
softmax_layer.MUT50.cpp,6,2867,0,0,0,2873,2645,12490,0,12542,14008,0.8953455168475157,0.8953455168475157,251,0,0,251,2645,0,0,1050,63
onnx_importer.MUT641.cpp,3,2870,0,0,0,2873,1043,12537,0,12542,14008,0.8953455168475157,0.8953455168475157,110,0,0,110,1043,0,0,1050,63
convolution_layer.MUT23.cpp,4,2866,0,0,3,2873,1893,12531,2605,12542,14008,0.8953455168475157,0.8949171901770417,175,0,0,175,1893,0,0,1050,63
einsum_layer.MUT330.cpp,7,2866,0,0,0,2873,1300,12408,0,12465,14008,0.8898486579097659,0.8898486579097659,126,0,0,126,1300,0,0,1050,63
nary_eltwise_layers.MUT57.cpp,7,2809,0,0,57,2873,1211,12180,5596,12541,14008,0.8952741290691034,0.8807824100513992,119,0,0,119,1211,0,0,1050,63
einsum_layer.MUT40.cpp,2,2871,0,0,0,2873,1243,12471,0,12542,14008,0.8953455168475157,0.8953455168475157,116,0,0,116,1243,0,0,1050,63
tf_graph_simplifier.MUT386.cpp,20,2723,0,0,130,2873,2862,10399,6883,12493,14008,0.8918475157053113,0.8295259851513421,252,0,0,252,2862,0,0,1050,63
onnx_graph_simplifier.MUT544.cpp,2,2310,0,0,561,2873,1420,7870,9531,12528,14008,0.894346087949743,0.6286407766990292,138,0,0,138,1420,0,0,1050,63
pooling_layer.MUT215.cpp,1,2870,0,0,2,2873,649,12521,2594,12542,14008,0.8953455168475157,0.8949171901770417,57,0,0,57,649,0,0,1050,63
